sale_id,employee_id,sale_date,product,category,amount
S01143,8,2025-01-01,Camera,Electronics,9507.09
S00474,45,2025-01-01,Camera,Electronics,10821.78
S00231,60,2025-01-01,Laptop,Electronics,9306.42
S00317,24,2025-01-01,Printer,Office,6521.86
S01733,3,2025-01-03,Keyboard,Accessories,10455.07
S01788,74,2025-01-03,Camera,Electronics,8832.29
S00270,16,2025-01-03,Monitor,Electronics,15915.11
S01391,15,2025-01-03,Headphones,Accessories,19665.15
S01857,51,2025-01-04,Keyboard,Accessories,9820.63
S00276,93,2025-01-04,Keyboard,Accessories,5763.93
S00876,38,2025-01-05,Headphones,Accessories,10362.11
S01630,64,2025-01-05,Keyboard,Accessories,13394.33
S01904,36,2025-01-05,Headphones,Accessories,6392.7
S00740,90,2025-01-05,Tablet,Electronics,3634.32
S01285,22,2025-01-06,Keyboard,Accessories,9095.35
S01018,31,2025-01-07,Monitor,Electronics,7449.84
S01334,21,2025-01-07,Speaker,Audio,3128.56
S00026,70,2025-01-07,Phone,Electronics,7417.64
S00606,51,2025-01-08,Monitor,Electronics,12487.26
S00393,13,2025-01-08,Phone,Electronics,10619.5
S00868,65,2025-01-08,Phone,Electronics,12302.65
S00882,62,2025-01-08,Monitor,Electronics,14084.66
S00997,72,2025-01-08,Keyboard,Accessories,19973.43
S00911,62,2025-01-08,Camera,Electronics,6961.69
S01899,98,2025-01-08,Speaker,Audio,5722.45
S00089,84,2025-01-09,Speaker,Audio,8036.51
S01852,8,2025-01-10,Keyboard,Accessories,8704.8
S00621,3,2025-01-10,Phone,Electronics,38152.11
S01782,80,2025-01-11,Tablet,Electronics,9920.44
S01522,59,2025-01-11,Speaker,Audio,6826.14
S00881,69,2025-01-11,Laptop,Electronics,3763.39
S00929,25,2025-01-12,Headphones,Accessories,18389.92
S01523,98,2025-01-12,Headphones,Accessories,15292.26
S00472,39,2025-01-12,Phone,Electronics,3226.52
S00455,86,2025-01-12,Laptop,Electronics,9934.87
S00647,79,2025-01-12,Mouse,Accessories,8389.35
S01137,55,2025-01-13,Speaker,Audio,4865.36
S01798,77,2025-01-13,Monitor,Electronics,6652.1
S01244,86,2025-01-13,Mouse,Accessories,5807.13
S01236,41,2025-01-13,Monitor,Electronics,13667.41
S01449,59,2025-01-13,Tablet,Electronics,8926.05
S01377,31,2025-01-13,Keyboard,Accessories,7736.55
S01323,74,2025-01-14,Laptop,Electronics,11354.09
S00854,3,2025-01-14,Headphones,Accessories,3047.7
S01030,21,2025-01-14,Speaker,Audio,5455.93
S01825,84,2025-01-15,Laptop,Electronics,29914.99
S00058,23,2025-01-15,Speaker,Audio,9498.37
S00940,67,2025-01-15,Mouse,Accessories,18513.87
S01070,25,2025-01-15,Tablet,Electronics,19126.57
S01604,98,2025-01-16,Camera,Electronics,13050.08
S01410,32,2025-01-16,Speaker,Audio,5987.93
S01839,14,2025-01-16,Printer,Office,10898.1
S01541,40,2025-01-17,Speaker,Audio,12688.79
S01674,75,2025-01-17,Phone,Electronics,8464.27
S00282,86,2025-01-17,Keyboard,Accessories,11241.28
S00632,23,2025-01-18,Laptop,Electronics,19860.74
S00145,92,2025-01-18,Tablet,Electronics,5073.93
S00201,20,2025-01-18,Monitor,Electronics,11067.98
S00928,97,2025-01-18,Tablet,Electronics,13874.26
S00591,95,2025-01-19,Phone,Electronics,15604.07
S00102,41,2025-01-19,Tablet,Electronics,8080.13
S00536,58,2025-01-19,Monitor,Electronics,7322.3
S00842,20,2025-01-19,Laptop,Electronics,5869.95
S00720,26,2025-01-19,Mouse,Accessories,6477.47
S01297,26,2025-01-19,Speaker,Audio,9399.74
S01995,70,2025-01-20,Phone,Electronics,6639.87
S01732,60,2025-01-20,Laptop,Electronics,6548.93
S01322,17,2025-01-20,Phone,Electronics,14770.88
S01309,39,2025-01-20,Printer,Office,15543.51
S01185,82,2025-01-20,Camera,Electronics,6986.31
S00485,77,2025-01-21,Camera,Electronics,10715.93
S00434,76,2025-01-21,Camera,Electronics,7923.39
S01427,65,2025-01-21,Camera,Electronics,10933.34
S00105,68,2025-01-22,Monitor,Electronics,26761.91
S01475,57,2025-01-22,Mouse,Accessories,14774.85
S00832,51,2025-01-22,Speaker,Audio,9673.29
S00163,87,2025-01-22,Phone,Electronics,10791.08
S00002,2,2025-01-23,Laptop,Electronics,19282.63
S01726,3,2025-01-24,Keyboard,Accessories,7647.69
S00803,62,2025-01-24,Tablet,Electronics,8953.14
S00123,51,2025-01-24,Keyboard,Accessories,12999.67
S00939,6,2025-01-24,Headphones,Accessories,12286.08
S00196,60,2025-01-24,Printer,Office,8948.78
S01453,70,2025-01-25,Speaker,Audio,5793.24
S00469,74,2025-01-25,Phone,Electronics,7859.8
S01946,76,2025-01-25,Headphones,Accessories,13218.32
S00224,86,2025-01-25,Tablet,Electronics,15656.4
S01002,12,2025-01-25,Monitor,Electronics,11608.38
S01572,63,2025-01-26,Keyboard,Accessories,13699.09
S00871,17,2025-01-26,Keyboard,Accessories,15113.38
S01591,2,2025-01-26,Laptop,Electronics,13327.47
S01587,39,2025-01-26,Laptop,Electronics,12252.96
S00460,4,2025-01-26,Printer,Office,5635.1
S00279,26,2025-01-26,Printer,Office,2003.66
S00995,38,2025-01-26,Speaker,Audio,3340.75
S01172,48,2025-01-26,Mouse,Accessories,16161.37
S01353,17,2025-01-27,Keyboard,Accessories,9718.06
S01036,1,2025-01-27,Tablet,Electronics,8202.11
S01686,92,2025-01-27,Laptop,Electronics,2579.48
S01101,56,2025-01-27,Printer,Office,14502.62
S01881,94,2025-01-27,Camera,Electronics,5569.24
S00096,82,2025-01-27,Speaker,Audio,16541.01
S01191,11,2025-01-28,Tablet,Electronics,10625.95
S01392,4,2025-01-28,Tablet,Electronics,11685.79
S00713,34,2025-01-29,Mouse,Accessories,9635.24
S00342,13,2025-01-29,Printer,Office,10906.56
S00438,17,2025-01-29,Phone,Electronics,10300.23
S01102,83,2025-01-29,Printer,Office,7159.86
S01086,84,2025-01-30,Monitor,Electronics,10438.5
S00786,26,2025-01-31,Speaker,Audio,5202.91
S00209,92,2025-01-31,Printer,Office,18219.54
S01374,59,2025-02-01,Camera,Electronics,15265.08
S00471,19,2025-02-01,Camera,Electronics,10528.36
S00884,50,2025-02-01,Monitor,Electronics,15198.67
S00185,43,2025-02-02,Monitor,Electronics,8616.06
S01743,100,2025-02-03,Mouse,Accessories,18555.85
S00642,38,2025-02-03,Monitor,Electronics,7526.51
S01592,78,2025-02-03,Phone,Electronics,15952.01
S01325,55,2025-02-03,Printer,Office,8337.2
S00586,55,2025-02-03,Camera,Electronics,10425.61
S01158,35,2025-02-04,Keyboard,Accessories,11551.22
S00466,54,2025-02-04,Camera,Electronics,5490.89
S01800,22,2025-02-04,Keyboard,Accessories,12110.98
S00331,51,2025-02-05,Camera,Electronics,4496.95
S01854,53,2025-02-05,Speaker,Audio,12531.15
S00732,8,2025-02-06,Camera,Electronics,18697.84
S01375,17,2025-02-06,Speaker,Audio,12130.95
S00313,1,2025-02-07,Laptop,Electronics,14470.89
S00545,63,2025-02-08,Mouse,Accessories,10260.26
S00978,29,2025-02-08,Laptop,Electronics,4484.51
S01715,46,2025-02-09,Speaker,Audio,11320.0
S00769,13,2025-02-09,Printer,Office,13429.07
S00175,47,2025-02-09,Laptop,Electronics,12206.12
S01477,41,2025-02-09,Camera,Electronics,4271.94
S01467,59,2025-02-09,Printer,Office,4793.64
S00024,69,2025-02-10,Headphones,Accessories,12907.87
S00268,89,2025-02-10,Camera,Electronics,8463.39
S01565,41,2025-02-11,Laptop,Electronics,13145.18
S01957,80,2025-02-11,Speaker,Audio,2864.59
S00499,61,2025-02-11,Headphones,Accessories,9879.67
S00533,36,2025-02-11,Speaker,Audio,4571.36
